read_id	most_likely_taxon	confidence	assignment_certainty	taxon_name	kingdom
4b750177-9a5d-4ac1-81ca-a53d254120cf	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
c3894435-ce30-4ef8-ae60-acb53eca99c5	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
f9a2558b-c36a-4e83-90dd-6e3156bda55d	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
47711364-758b-40db-8464-15c1a15ca262	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
ac9bf68e-d5a3-4d56-b179-48597e4314e0	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
0986ec96-dd2b-406d-b43e-c2c413b871df	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
398d9980-4347-4095-84dd-5726a6966caf	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
58fb9151-36c1-49c3-a80a-e583c25f6913	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
77562831-7518-4c3b-8bcf-cf5d96e286a1	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
e618fae2-5be8-450c-8d70-baba366d301d	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
d981af4f-ec7b-477c-a381-f81f41bcb3b4	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
57286138-034e-4678-b84f-17b7656e3d87	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
d79f52d2-8a81-41ef-b2c0-d11e57e54613	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
4a67a6d9-09a3-4675-9d75-69f5f7e48e47	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
d36a772b-dac3-425e-92d8-5586ce12e5ed	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
baafa4f9-926b-4c0b-b718-c1b4d730edc6	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
9d8d2f87-dc3a-4b4b-8b0d-11e0e9a9aeb7	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
95d31cae-b28b-439a-addd-43f06c1a427f	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
41545f3e-7975-46b0-a47c-29b5b60dfe61	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
8080c88f-8716-42f8-89d6-c6f263c02248	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
5400f0a2-c4c6-4adf-adf0-3f27b73d2f1d	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
6e0cd2bf-9bae-4a10-a5b2-fdb1767aac1b	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
4fb38494-329c-45ab-bddf-602e071db12f	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
f6e71cdb-eb03-4609-a79e-72f6664df8e2	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
70833474-0b60-4103-8d72-8e66fb71e148	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
35bce586-a049-4f21-a2b0-3ead0894ba1d	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
7877c944-7764-4070-aea2-1261cc9f3839	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
770b5ba5-03bf-43bd-a8d4-2286d525e51e	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
690ae50e-b9ec-41f8-8600-fa86e543d285	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
cb109bf4-8500-4204-859d-b3b5941ed536	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
22de5a5a-326b-4ab4-8bc0-a77afcca4be5	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
7340570f-3758-4386-943c-701fa4424f29	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
3e69f554-69c9-457c-98cf-600b2f1eac07	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
8ad8700c-1ca3-4b4c-b313-c43527438ae2	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
ab363d00-7673-4b2a-ab72-01e31b2a15d7	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
e91a2ac0-c815-4eb0-9a90-bf0f88a6dae3	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
ba74e423-bc1f-460a-9b24-fef64ec7bac9	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
22668087-1500-4b18-873b-1450b57f20e2	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
c42137ea-369a-46b0-a1d9-8836897daaf7	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
886e1c07-5060-4ba2-bf0a-896fd64ad308	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
956eb59f-f106-43fb-a688-623e7107d695	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
1f65b141-9a80-48c5-8888-e79e5c9b30c2	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
784065e5-bb87-4a4c-bc32-8586d4e0cc73	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
fe2db218-6289-4028-bf39-28dfaf326475	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
41ee34c3-8770-4f6e-b57a-1814ac854441	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
3426bf95-db95-43f5-9789-bba90f954a8f	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
57520621-b252-4003-ab0f-0a2c3e42c8e5	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
d7910631-5d7f-4585-b776-597f3c59d702	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
829791ec-03bf-4d94-8746-51b292bf7eac	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
d863912d-7cd5-4cb5-920c-0ad119f41d23	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
b98a832c-021f-43f0-8dc2-0290d65bb26f	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
14ce752b-063b-4f57-836a-0418ec67e762	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
fea71c18-4f7d-4eb9-9b9c-9dd7623f8148	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
9a8481d7-de31-4fc3-87a7-a107683b340c	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
50d07c89-f06e-4308-91c0-18acf6a68274	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
6382455e-693a-4412-860c-227ad97851e5	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
7bb0fddc-5c8b-4405-b8c1-6e0b908e54b6	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
5b90c0cf-978b-4b14-a615-f641764c9969	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
4eac7844-52e6-4c22-a398-12aae45e65f3	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
1be69a53-d0ab-4808-a7ee-29291a2077c2	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
34d2bac7-d566-4561-a175-5a5088cc686b	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
307ddb7f-e49b-4f46-a83b-4ea51e056fea	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
81db9c7a-3789-4d5e-96b0-d475e208574d	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
55d3c590-9cf9-4323-bb25-b9c0a0afa2ed	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
672e04dc-97c9-472b-844c-68d63eb6fbcd	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
1a372ef9-bc51-481d-b137-93865be10aa5	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
74de2214-dc84-413e-8f48-daec6a941b88	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
93c17086-c294-4acb-a20f-dfb0020f220b	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
159ec4a7-6721-4dc2-9ea7-665e30798cfc	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
27bc7631-3209-47c8-9961-e7f13e4760a0	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
cbb7b9ed-74d1-4b28-b897-0061a78bde85	358	1.0	confident	Agrobacterium tumefaciens	Bacteria
