tax_id	abundance	estimated counts	species	genus	family	order	class	phylum	superkingdom	source	mean_confidence	confident_reads_percentage
426702	0.1356209150326797	664.0	Alkalibacterium pelagium	Alkalibacterium	Carnobacteriaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	EMU	1.0	1.0
72457	0.0071486928104575	35.0	Bacillus_sp.	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	PR2	1.0	1.0
49632	0.047845179738562	234.25	Castanea_mollissima:plas	Castanea:plas	Embryophyceae_XX:plas	Embryophyceae_X:plas	Embryophyceae:plas	Streptophyta:plas	Eukaryota:plas	PR2	0.25	0.0
8251	0.047845179738562	234.25	Quercus_rubra	Quercus	Embryophyceae_XX	Embryophyceae_X	Embryophyceae	Streptophyta	Eukaryota	PR2	0.0	0.0
8251	0.047845179738562	234.25	Quercus_rubra:plas	Quercus:plas	Embryophyceae_XX:plas	Embryophyceae_X:plas	Embryophyceae:plas	Streptophyta:plas	Eukaryota:plas	PR2	0.0	0.0
49634	0.047845179738562	234.25	Quercus_nigra:plas	Quercus:plas	Embryophyceae_XX:plas	Embryophyceae_X:plas	Embryophyceae:plas	Streptophyta:plas	Eukaryota:plas	PR2	0.0	0.0
49633	0.047845179738562	234.25	Castanopsis_echinocarpa:plas	Castanopsis:plas	Embryophyceae_XX:plas	Embryophyceae_X:plas	Embryophyceae:plas	Streptophyta:plas	Eukaryota:plas	PR2	0.0	0.0
73513	0.2097632293109939	1027.0007707066266	Dioon_edule:mito	Dioon:mito	Embryophyceae_XX:mito	Embryophyceae_X:mito	Embryophyceae:mito	Streptophyta:mito	Eukaryota:mito	PR2	0.9999999860239092	0.9980525803310614
6722	0.0038805615386792	18.999229293373592	Epifagus_virginiana	Epifagus	Embryophyceae_XX	Embryophyceae_X	Embryophyceae	Streptophyta	Eukaryota	PR2	0.9999586810488628	0.8947368421052632
6722	0.0038805615386792	18.999229293373592	Epifagus_virginiana:plas	Epifagus:plas	Embryophyceae_XX:plas	Embryophyceae_X:plas	Embryophyceae:plas	Streptophyta:plas	Eukaryota:plas	PR2	0.9999586810488628	0.8947368421052632
72724	0.0104166666666666	51.0	Singulisphaera_sp.	Singulisphaera	Isosphaeraceae	Isosphaerales	Planctomycetacia	Planctomycetes	Bacteria	PR2	1.0	1.0
