tax_id	abundance	estimated counts	species	genus	family	order	class	phylum	superkingdom	source	mean_confidence	confident_reads_percentage
863372	0.0672995847758188	332.93104588597555	Herbaspirillum huttiense	Herbaspirillum	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	EMU	0.9997929299471556	0.993993993993994
10003216	0.0233358548992924	115.4424741867996	Sphingobium yanoikuyae	Sphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria	EMU	0.6783003565402712	0.0
2565554	0.0112296529113593	55.5530929524946	Sphingobium sp. PAMC28499	Sphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria	EMU	0.5951439464350143	0.0
433286	0.0295128360622599	146.0	Anaerocolumna cellulosilytica	Anaerocolumna	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria	EMU	1.0	1.0
945844	0.0634728118051344	314.0	Massilia oculi	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	EMU	1.0	1.0
72006	0.1685870224378411	834.0000000000001	Candidatus_Solibacter_sp.	Candidatus_Solibacter	Solibacteraceae_(Subgroup_3)	Solibacterales	Acidobacteriia	Acidobacteria	Bacteria	PR2	1.0	1.0
10003594	0.0079835588351487	39.49466555748064	Pseudomonas azotoformans	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	EMU	0.0	0.0
2018067	0.0105241843306506	52.06313988372873	Pseudomonas sp. FDAARGOS_380	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	EMU	0.36846796770236606	0.0
1827300	0.0086683917407421	42.88253394145131	Pseudomonas sp. MYb193	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	EMU	0.6589399597780384	0.0
294	0.0098924063738789	48.93773433157926	Pseudomonas fluorescens	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	EMU	0.6762495708995244	0.0
186651	0.0079723798462077	39.43936309918973	Microvirga subterranea	Microvirga	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria	EMU	0.9812666571230297	0.0
670292	0.1118982488176289	553.5606369008104	Microvirga aerilata	Microvirga	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria	EMU	0.9996587761043969	0.8806509945750453
80878	0.0139478471801091	69.0	Acidovorax temperans	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	EMU	1.0	1.0
2060307	0.0179168599213216	88.63470603077809	Enterococcus sp. FDAARGOS_375	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	EMU	0.7817127906483782	0.0
2057791	0.0051274093327717	25.36529396922198	Enterococcus sp. CR-Ec1	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	EMU	0.69883931248876	0.0
80866	0.0580149585607438	287.0	Delftia acidovorans	Delftia	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	EMU	1.0	1.0
1343896	0.0062664240954113	31.0	Pontibacter deserti	Pontibacter	Hymenobacteraceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria	EMU	1.0	1.0
10002248	0.0107135637760258	53.0	Arthrobacter agilis	Arthrobacter	Micrococcaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria	EMU	1.0	1.0
10003105	0.0289064079239943	143.0	Phyllobacterium myrsinacearum	Phyllobacterium	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria	EMU	1.0	1.0
10003574	0.0204164139882757	101.0	Acinetobacter johnsonii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	EMU	1.0	1.0
280333	0.0046492823933697	23.0	Bradyrhizobium pachyrhizi	Bradyrhizobium	Bradyrhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria	EMU	0.5	0.0
