tax_id	abundance	estimated counts	species	genus	family	order	class	phylum	superkingdom	source	mean_confidence	confident_reads_percentage
151414	0.0375958622312713	185.94913459586817	Afipia birgiae	Afipia	Nitrobacteraceae	Hyphomicrobiales	Alphaproteobacteria	Pseudomonadota	Bacteria	EMU	0.9997265300853114	0.043010752688172046
3116917	0.0074910767092866	37.05086540413196	Afipia dichlorophenoxyacetatis	Afipia	Nitrobacteraceae	Hyphomicrobiales	Alphaproteobacteria	Pseudomonadota	Bacteria	EMU	0.9999999999999966	0.08108108108108109
73513	0.3885690453591663	1921.8624983464365	Dioon_edule:mito	Dioon:mito	Embryophyceae_XX:mito	Embryophyceae_X:mito	Embryophyceae:mito	Streptophyta:mito	Eukaryota:mito	PR2	0.9997733160051772	0.9947970863683663
6722	0.0079129604360186	39.13750231654829	Epifagus_virginiana:plas	Epifagus:plas	Embryophyceae_XX:plas	Embryophyceae_X:plas	Embryophyceae:plas	Streptophyta:plas	Eukaryota:plas	PR2	0.9923542481670768	0.9743589743589743
2080755	0.0158347822368195	78.3188329433093	Tautonia sociabilis	Tautonia	Isosphaeraceae	Isosphaerales	Planctomycetia	Planctomycetota	Bacteria	EMU	0.9383724814551674	0.18181818181818182
406548	0.008685614338778	42.95904851959615	Aquisphaera giovannonii	Aquisphaera	Isosphaeraceae	Isosphaerales	Planctomycetia	Planctomycetota	Bacteria	EMU	0.8249533759400227	0.0425531914893617
28101	0.1330112441289666	657.873613461869	Phyllobacterium myrsinacearum	Phyllobacterium	Phyllobacteriaceae	Hyphomicrobiales	Alphaproteobacteria	Pseudomonadota	Bacteria	EMU	0.999806528110784	0.2826747720364742
2718938	0.0046757756850245	23.126386538131364	Phyllobacterium sp. 628	Phyllobacterium	Phyllobacteriaceae	Hyphomicrobiales	Alphaproteobacteria	Pseudomonadota	Bacteria	EMU	0.999960088479442	0.0
643672	0.0030248624434032	14.960969645072565	Singulisphaera rosea	Singulisphaera	Isosphaeraceae	Isosphaerales	Planctomycetia	Planctomycetota	Bacteria	EMU	0.9896395986985163	0.2
2712865	0.0229451958738316	113.48693879197116	Paludisphaera soli	Paludisphaera	Isosphaeraceae	Isosphaerales	Planctomycetia	Planctomycetota	Bacteria	EMU	0.9075251000319687	0.0
