Taxonomy ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Relative Abundance
151414,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Afipia,Afipia birgiae,0.0375958622312713
3116917,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Afipia,Afipia dichlorophenoxyacetatis,0.0074910767092866
73513,Eukaryota:mito,Streptophyta:mito,Embryophyceae:mito,Embryophyceae_X:mito,Embryophyceae_XX:mito,Dioon:mito,Dioon_edule:mito,0.3885690453591663
6722,Eukaryota:plas,Streptophyta:plas,Embryophyceae:plas,Embryophyceae_X:plas,Embryophyceae_XX:plas,Epifagus:plas,Epifagus_virginiana:plas,0.0079129604360186
2080755,Bacteria,Planctomycetota,Planctomycetia,Isosphaerales,Isosphaeraceae,Tautonia,Tautonia sociabilis,0.0158347822368195
406548,Bacteria,Planctomycetota,Planctomycetia,Isosphaerales,Isosphaeraceae,Aquisphaera,Aquisphaera giovannonii,0.008685614338778
28101,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Phyllobacterium,Phyllobacterium myrsinacearum,0.1330112441289666
2718938,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Phyllobacterium,Phyllobacterium sp. 628,0.0046757756850245
643672,Bacteria,Planctomycetota,Planctomycetia,Isosphaerales,Isosphaeraceae,Singulisphaera,Singulisphaera rosea,0.0030248624434032
2712865,Bacteria,Planctomycetota,Planctomycetia,Isosphaerales,Isosphaeraceae,Paludisphaera,Paludisphaera soli,0.0229451958738316
1855383,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Afifellaceae,Faunimonas,Faunimonas pinastri,0.0086938940558026
2082188,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingobiaceae,Sphingobium,Sphingobium sp. YG1,0.0062676910634856
2954672,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Neobacillus,Neobacillus sp. FSL H8-0543,0.0721795390214314
1162966,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Naasia,Naasia aerilata,0.0198139911039223
1002870,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,Gaiella occulta,0.0088960776384957
40214,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter johnsonii,0.035584310553983
10159,Eukaryota:plas,Cryptophyta:plas,Cryptophyceae:plas,Pyrenomonadales:plas,Pyrenomonadaceae:plas,Rhodomonas:plas,Rhodomonas_salina:plas,0.0149615851192883
1636152,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomyces,Planctomyces sp. SH-PL62,0.0352353841690357
490573,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,Solirubrobacter ginsenosidimutans,0.0139506672058228
2861282,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Massilia sp. NP310,0.0286307964012618
73511,Eukaryota:mito,Streptophyta:mito,Embryophyceae:mito,Embryophyceae_X:mito,Embryophyceae_XX:mito,Plantago:mito,Plantago_coronopus:mito,0.0054589565986686
6649,Eukaryota:plas,Streptophyta:plas,Embryophyceae:plas,Embryophyceae_X:plas,Embryophyceae_XX:plas,Embryophyceae_XXX:plas,Embryophyceae_XXX_sp.:plas,0.0810756166599272
243690,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium goesingense,0.0099069955519611
47880,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fulva,0.0036393044884755
316,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Stutzerimonas,Stutzerimonas stutzeri,0.0030327537403962
2769491,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Massilia litorea,0.0047068715231391
1505,Bacteria,Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Paraclostridium,Paraclostridium sordellii,0.0107157298827335
2603288,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Massilia arenae,0.0050772127872852
1648232,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Skermanella,Skermanella rubra,0.002426202992317
