Taxonomy ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Relative Abundance
1643336,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Mesobacillus,Mesobacillus maritimus,0.0217507599184197
1523158,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Mesobacillus,Mesobacillus rigiliprofundi,0.04393814733438
40214,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter johnsonii,0.1625697170006197
40216,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter radioresistens,0.0128072712249535
2703818,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Pallidibacillus,Pallidibacillus pasinlerensis,0.0171452179278327
251051,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Pallidibacillus,Pallidibacillus thermolactis,0.0696137161742169
1471761,Bacteria,Bacillota,Bacilli,Bacillales,Thermoactinomycetaceae,Novibacillus,Novibacillus thermophilus,0.0968808097500516
2082188,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingobiaceae,Sphingobium,Sphingobium sp. YG1,0.0388539985492183
1007511,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingobiaceae,Sphingobium,Sphingobium limneticum,0.0047320373937687
2740529,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Microvirga,Microvirga terrae,0.0383168124860949
2807101,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Microvirga,Microvirga sp. VF16,0.0205553213705462
400777,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus ginsengarvi,0.0020656889072505
1776391,Bacteria,Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Romboutsia,Romboutsia timonensis,0.1024060506920667
1278212,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,Arcobacter suis,0.0477174137574881
3047874,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Neobacillus,Neobacillus sp. YX16,0.0322247469533514
2588497,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum,Noviherbaspirillum aerium,0.0020989821759339
3080276,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum,Noviherbaspirillum album,0.0110322481610078
1260987,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum,Noviherbaspirillum malthae,0.0281825478080695
28101,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Phyllobacterium,Phyllobacterium myrsinacearum,0.0237554224333815
1325120,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Bradyrhizobium sp. CCBAU 53421,0.0039625229054475
280333,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Bradyrhizobium pachyrhizi,0.0039625229054475
29448,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Bradyrhizobium elkanii,0.0122113572315639
1419277,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Bradyrhizobium brasilense,0.0039625229054475
208375,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Bradyrhizobium sp. Pha-3,0.004332153008808
3344579,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Bradyrhizobium sp. 8-10B,0.0039625229054475
2057741,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Bradyrhizobium sp. SK17,0.0039625229054475
2724150,Bacteria,Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Romboutsia,Romboutsia sp. CE17,0.0046489751959646
3382641,Bacteria,Bacillota,Bacilli,Bacillales,Fictibacillaceae,Pseudalkalibacillus,Pseudalkalibacillus sp. A8,0.0753976451146457
1505,Bacteria,Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Paraclostridium,Paraclostridium sordellii,0.032998682023557
1886787,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas olei,0.0051642222681264
2498847,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Zeimonas,Zeimonas arvi,0.0274736624664325
2339232,Bacteria,Actinomycetota,Actinomycetes,Motilibacterales,Vallicoccaceae,Vallicoccus,Vallicoccus soli,0.0080561867382772
381630,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium jeotgali,0.0161123734765544
1562887,Bacteria,Actinomycetota,Actinomycetes,Frankiales,Frankiaceae,Protofrankia,Protofrankia coriariae,0.0076430489568271
108981,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter schindleri,0.0053707911588514
2685937,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Virgibacillus,Virgibacillus kimchii,0.0041313778145011
