Taxonomy ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Relative Abundance
2927980,Bacteria,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,Mesoterricola,Mesoterricola sediminis,0.0212475719929886
3068893,Bacteria,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,Geothrix,Geothrix sp. 21YS21S-2,0.0221612485289438
162028,Bacteria,Myxococcota,Unknown,Haliangiales,Kofleriaceae,Haliangium,Haliangium tepidum,0.0183764135702746
1400979,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Hymenobacteraceae,Pontibacter,Pontibacter diazotrophicus,0.004885059754757
2791028,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Hymenobacteraceae,Pontibacter,Pontibacter rufus,0.0060722997587803
2766980,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Hymenobacteraceae,Pontibacter,Pontibacter aquaedesilientis,0.0055925446056302
2080288,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Hymenobacteraceae,Pontibacter,Pontibacter arcticus,0.1395438572986478
1424080,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Hymenobacteraceae,Pontibacter,Pontibacter amylolyticus,0.0218141545757225
3068889,Bacteria,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,Geothrix,Geothrix sp. 21YS21S-4,0.0060661390903453
304,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Roseateles,Roseateles saccharophilus,0.1211631663974151
1612172,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Vicinamibacter,Vicinamibacter silvestris,0.0381663974151857
3037797,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Piscinibacter,Piscinibacter sp. XHJ-5,0.0767366720516962
2082188,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingobiaceae,Sphingobium,Sphingobium sp. YG1,0.0888745082363318
1007511,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingobiaceae,Sphingobium,Sphingobium limneticum,0.0159316306974314
40216,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter radioresistens,0.0193407646599754
3231720,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter sp. FL,0.0291245018989907
457921,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Massilia varians,0.0260500807754442
28101,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Phyllobacterium,Phyllobacterium myrsinacearum,0.0518982229402261
40214,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter johnsonii,0.0892568659127619
1404,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Priestia,Priestia megaterium,0.0062600969305331
466153,Bacteria,Planctomycetota,Planctomycetia,Isosphaerales,Isosphaeraceae,Singulisphaera,Singulisphaera acidiphila,0.097761699848925
2029860,Bacteria,Planctomycetota,Planctomycetia,Isosphaerales,Isosphaeraceae,Tundrisphaera,Tundrisphaera lichenicola,0.0029482603988817
3120278,Bacteria,Planctomycetota,Planctomycetia,Isosphaerales,Isosphaeraceae,Singulisphaera,Singulisphaera photorubra,0.0054689137781177
2712865,Bacteria,Planctomycetota,Planctomycetia,Isosphaerales,Isosphaeraceae,Paludisphaera,Paludisphaera soli,0.0042815460063856
861299,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,Gemmatirosa,Gemmatirosa kalamazoonensis,0.0036348949919224
151414,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Afipia,Afipia birgiae,0.0161550888529886
68569,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas leidyi,0.0030290791599353
1235480,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella,Blastocatella fastidiosa,0.0137318255250403
2057,Bacteria,Thermomicrobiota,Thermomicrobia,Sphaerobacterales,Sphaerobacteraceae,Sphaerobacter,Sphaerobacter thermophilus,0.0026252019386106
2267833,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium oryzihabitans,0.0143376413570274
3070683,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Neobacillus,Neobacillus sp. OS1-33,0.0094911147011308
108981,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter schindleri,0.0046445880452348
316,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Stutzerimonas,Stutzerimonas stutzeri,0.0036348949919224
186651,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Microvirga,Microvirga subterranea,0.0060581583198707
1045317,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas lutea,0.0036348949919224
