read_id	most_likely_taxon	confidence	assignment_certainty	taxon_name	kingdom
4c4a5478-d1e8-4480-a84c-8aad9e450f6a	29378	1.0	confident	Staphylococcus arlettae	Bacteria
2a2ce59a-c632-445f-9cdb-96908c6d4669	29378	1.0	confident	Staphylococcus arlettae	Bacteria
d3442c7e-1177-4894-832e-ef98a7d826bd	29378	1.0	confident	Staphylococcus arlettae	Bacteria
0f6cdf8f-8173-4873-abd2-0fe40c710e7f	29378	1.0	confident	Staphylococcus arlettae	Bacteria
2e86e692-8ee7-4cb0-8b17-f2ce085dfc2b	29378	1.0	confident	Staphylococcus arlettae	Bacteria
d0ea2bc2-cee0-4960-a33f-161b5a8eaf0d	29378	1.0	confident	Staphylococcus arlettae	Bacteria
f9dea654-175b-4bb4-8a92-89571de7db76	29378	1.0	confident	Staphylococcus arlettae	Bacteria
690fc381-df04-4d64-b674-a9eb344e606f	29378	1.0	confident	Staphylococcus arlettae	Bacteria
b2b4901e-de1b-4a0e-806e-9cba70e77836	29378	1.0	confident	Staphylococcus arlettae	Bacteria
10a1953e-9313-473b-adaa-6827719f38a4	29378	1.0	confident	Staphylococcus arlettae	Bacteria
4bc6c9aa-7464-40c9-80d7-8bdaa87140f6	29378	1.0	confident	Staphylococcus arlettae	Bacteria
3201e950-f8dd-4fba-9fa0-8b3eff2c4e1f	29378	1.0	confident	Staphylococcus arlettae	Bacteria
66be64e3-cfe3-451a-b460-f200ac87f595	29378	1.0	confident	Staphylococcus arlettae	Bacteria
075ded4d-9ed2-422c-905f-eee59142c34e	29378	1.0	confident	Staphylococcus arlettae	Bacteria
ad5a464a-8331-4ed1-9124-9fefcfdd5c93	29378	1.0	confident	Staphylococcus arlettae	Bacteria
9756cbd0-67f1-449a-9e17-fded32577853	29378	1.0	confident	Staphylococcus arlettae	Bacteria
1e6e44cb-93f4-487a-b79a-641dc469eee2	29378	1.0	confident	Staphylococcus arlettae	Bacteria
efd95a1d-5437-42d9-87a6-499ae4820cd5	29378	1.0	confident	Staphylococcus arlettae	Bacteria
18dfe086-1c30-407f-8437-b1395674e30a	29378	1.0	confident	Staphylococcus arlettae	Bacteria
8602c30f-4c8d-44b4-93f6-91f1df3f452d	29378	1.0	confident	Staphylococcus arlettae	Bacteria
665f29cf-97b6-4f63-aef1-3fd981b25f6d	29378	1.0	confident	Staphylococcus arlettae	Bacteria
c9ef38c0-7f71-4d48-831c-4ab46a2e59b7	29378	1.0	confident	Staphylococcus arlettae	Bacteria
7d936331-0c79-47ad-8b32-984c0ed2594b	29378	1.0	confident	Staphylococcus arlettae	Bacteria
0092ef35-3416-4fb0-9daf-d2baa3d73dac	29378	1.0	confident	Staphylococcus arlettae	Bacteria
196585c6-b2e3-4356-a583-7e607de8a684	29378	1.0	confident	Staphylococcus arlettae	Bacteria
54462a89-3caf-42ab-9dbf-10524770ef29	29378	1.0	confident	Staphylococcus arlettae	Bacteria
da14a17a-6c99-4889-8fe3-ab19b5c290a2	29378	1.0	confident	Staphylococcus arlettae	Bacteria
ee4d8834-66d6-4f17-85b4-b5c07e58f4d8	29378	1.0	confident	Staphylococcus arlettae	Bacteria
71e5695f-70cf-4e3f-9dbe-9d69bf6a9482	29378	1.0	confident	Staphylococcus arlettae	Bacteria
52254db4-8026-40ad-9a94-4fc0e4dc51bb	29378	1.0	confident	Staphylococcus arlettae	Bacteria
a8780ad1-2674-4103-8458-f288fe106fc9	29378	1.0	confident	Staphylococcus arlettae	Bacteria
ffc86c93-5341-438a-82fa-6eee2d18e0c4	29378	1.0	confident	Staphylococcus arlettae	Bacteria
