Taxonomy ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Relative Abundance
29378,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus arlettae,0.0154352747478905
1296,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Mammaliicoccus,Mammaliicoccus sciuri,0.2963572751594978
28101,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Phyllobacterium,Phyllobacterium myrsinacearum,0.1215120293238183
756892,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter indicus,0.0675036015641078
2045010,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Citricoccus,Citricoccus massiliensis,0.0360156410784111
202611,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,Lysinibacillus odysseyi,0.0102901831652603
73513,Eukaryota:mito,Streptophyta:mito,Embryophyceae:mito,Embryophyceae_X:mito,Embryophyceae_XX:mito,Dioon:mito,Dioon_edule:mito,0.0409549289977361
6722,Eukaryota:plas,Streptophyta:plas,Embryophyceae:plas,Embryophyceae_X:plas,Embryophyceae_XX:plas,Epifagus:plas,Epifagus_virginiana:plas,0.0032928586128833
2885764,Bacteria,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Globicatella,Globicatella sp. PHS-GS-PNBC-21-1553,0.0650339576044453
6649,Eukaryota:plas,Streptophyta:plas,Embryophyceae:plas,Embryophyceae_X:plas,Embryophyceae_XX:plas,Embryophyceae_XXX:plas,Embryophyceae_XXX_sp.:plas,0.0491870755299444
2880968,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Pseudoneobacillus,Pseudoneobacillus rhizosphaerae,0.0323111751389174
2718938,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Phyllobacterium,Phyllobacterium sp. 628,0.0036165979657475
2082188,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingobiaceae,Sphingobium,Sphingobium sp. YG1,0.0415698556956697
1931241,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Halopseudomonas,Halopseudomonas phragmitis,0.0261370652397612
40214,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter johnsonii,0.0201687590039102
391738,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Novilysobacter,Novilysobacter defluvii,0.0397201070179049
52,Bacteria,Myxococcota,Unknown,Polyangiales,Polyangiaceae,Chondromyces,Chondromyces crocatus,0.0048740809841727
83447,Bacteria,Myxococcota,Unknown,Polyangiales,Polyangiaceae,Chondromyces,Chondromyces pediculatus,0.0165294999995687
2745851,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Moheibacter,Moheibacter lacus,0.0195513480139946
1902580,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Macrococcus,Macrococcus epidermidis,0.0021952390752555
1891097,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Macrococcoides,Macrococcoides goetzii,0.0021952390752555
1903056,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Macrococcoides,Macrococcoides bohemicum,0.0021952390752555
13690,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingobiaceae,Sphingobium,Sphingobium yanoikuyae,0.0078230234975799
251051,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Pallidibacillus,Pallidibacillus thermolactis,0.0236674212800987
863372,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,Herbaspirillum huttiense,0.0211977773204363
1812261,Bacteria,Bacillota,Bacilli,Bacillales,Salinicoccaceae,Phocicoccus,Phocicoccus schoeneichii,0.0024163573419003
110845,Bacteria,Bacillota,Bacilli,Bacillales,Salinicoccaceae,Phocicoccus,Phocicoccus pinnipedialis,0.0119898990894641
1703,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Brevibacteriaceae,Brevibacterium,Brevibacterium linens,0.0059683062358509
134034,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium freneyi,0.0074089318789874
2653852,Bacteria,Actinomycetota,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter,Rubrobacter marinus,0.0028812512862728
